,best_fitness,fitness_evaluations,iterations,experiment,test_function
411,111.35799364745273,52,1,6,Sphere
412,111.35799364745273,53,1,6,Sphere
413,111.35799364745273,54,1,6,Sphere
414,111.35799364745273,55,1,6,Sphere
415,111.35799364745273,56,1,6,Sphere
416,111.35799364745273,57,1,6,Sphere
417,111.35799364745273,58,1,6,Sphere
418,111.35799364745273,59,1,6,Sphere
419,111.35799364745273,60,1,6,Sphere
420,291.27836181196886,1,0,7,Sphere
421,291.27836181196886,2,0,7,Sphere
422,204.74193333985588,3,0,7,Sphere
423,204.74193333985588,4,0,7,Sphere
424,204.74193333985588,5,0,7,Sphere
425,204.74193333985588,6,0,7,Sphere
426,204.74193333985588,7,0,7,Sphere
427,204.74193333985588,8,0,7,Sphere
428,204.74193333985588,9,0,7,Sphere
429,204.74193333985588,10,0,7,Sphere
430,204.74193333985588,11,0,7,Sphere
431,204.74193333985588,12,0,7,Sphere
432,204.74193333985588,13,0,7,Sphere
433,204.74193333985588,14,0,7,Sphere
434,204.74193333985588,15,0,7,Sphere
435,204.74193333985588,16,0,7,Sphere
436,204.74193333985588,17,0,7,Sphere
437,191.02320850295058,18,0,7,Sphere
438,156.5261715608646,19,0,7,Sphere
439,156.5261715608646,20,0,7,Sphere
440,156.5261715608646,21,0,7,Sphere
441,156.5261715608646,22,0,7,Sphere
442,156.5261715608646,23,0,7,Sphere
443,156.5261715608646,24,0,7,Sphere
444,156.5261715608646,25,0,7,Sphere
445,156.5261715608646,26,0,7,Sphere
446,156.5261715608646,27,0,7,Sphere
447,156.5261715608646,28,0,7,Sphere
448,156.5261715608646,29,0,7,Sphere
449,156.5261715608646,30,0,7,Sphere
450,156.5261715608646,31,1,7,Sphere
451,143.83978376823217,32,1,7,Sphere
452,143.83978376823217,33,1,7,Sphere
453,143.83978376823217,34,1,7,Sphere
454,143.83978376823217,35,1,7,Sphere
455,127.73433190601875,36,1,7,Sphere
456,127.73433190601875,37,1,7,Sphere
457,127.73433190601875,38,1,7,Sphere
458,127.73433190601875,39,1,7,Sphere
459,127.73433190601875,40,1,7,Sphere
460,127.73433190601875,41,1,7,Sphere
461,93.29618981298931,42,1,7,Sphere
462,93.29618981298931,43,1,7,Sphere
463,93.29618981298931,44,1,7,Sphere
464,93.29618981298931,45,1,7,Sphere
465,93.29618981298931,46,1,7,Sphere
466,93.29618981298931,47,1,7,Sphere
467,93.29618981298931,48,1,7,Sphere
468,93.29618981298931,49,1,7,Sphere
469,93.29618981298931,50,1,7,Sphere
470,93.29618981298931,51,1,7,Sphere
471,93.29618981298931,52,1,7,Sphere
472,93.29618981298931,53,1,7,Sphere
473,93.29618981298931,54,1,7,Sphere
474,93.29618981298931,55,1,7,Sphere
475,93.29618981298931,56,1,7,Sphere
476,93.29618981298931,57,1,7,Sphere
477,93.29618981298931,58,1,7,Sphere
478,93.29618981298931,59,1,7,Sphere
479,93.29618981298931,60,1,7,Sphere
480,243.55213246237557,1,0,8,Sphere
481,243.55213246237557,2,0,8,Sphere
482,240.99359871541634,3,0,8,Sphere
483,240.99359871541634,4,0,8,Sphere
484,240.99359871541634,5,0,8,Sphere
485,232.39864447452933,6,0,8,Sphere
486,219.15652285773024,7,0,8,Sphere
487,219.15652285773024,8,0,8,Sphere
488,210.43937828677534,9,0,8,Sphere
489,210.43937828677534,10,0,8,Sphere
490,189.73652526779622,11,0,8,Sphere
491,189.73652526779622,12,0,8,Sphere
492,189.73652526779622,13,0,8,Sphere
493,189.73652526779622,14,0,8,Sphere
494,189.73652526779622,15,0,8,Sphere
495,189.73652526779622,16,0,8,Sphere
496,189.73652526779622,17,0,8,Sphere
497,189.73652526779622,18,0,8,Sphere
498,189.73652526779622,19,0,8,Sphere
499,189.73652526779622,20,0,8,Sphere
500,189.73652526779622,21,0,8,Sphere
501,189.73652526779622,22,0,8,Sphere
502,189.73652526779622,23,0,8,Sphere
503,189.73652526779622,24,0,8,Sphere
504,189.73652526779622,25,0,8,Sphere
505,189.73652526779622,26,0,8,Sphere
506,189.73652526779622,27,0,8,Sphere
507,189.73652526779622,28,0,8,Sphere
508,189.73652526779622,29,0,8,Sphere
509,189.73652526779622,30,0,8,Sphere
510,189.73652526779622,31,1,8,Sphere
511,189.73652526779622,32,1,8,Sphere
512,189.73652526779622,33,1,8,Sphere
513,189.73652526779622,34,1,8,Sphere
514,189.73652526779622,35,1,8,Sphere
515,180.8417618209686,36,1,8,Sphere
516,180.8417618209686,37,1,8,Sphere
517,157.92065745930927,38,1,8,Sphere
518,157.92065745930927,39,1,8,Sphere
519,157.92065745930927,40,1,8,Sphere
520,157.92065745930927,41,1,8,Sphere
521,97.29504230340832,42,1,8,Sphere
522,97.29504230340832,43,1,8,Sphere
523,97.29504230340832,44,1,8,Sphere
524,97.29504230340832,45,1,8,Sphere
525,97.29504230340832,46,1,8,Sphere
526,97.29504230340832,47,1,8,Sphere
527,97.29504230340832,48,1,8,Sphere
528,97.29504230340832,49,1,8,Sphere
529,97.29504230340832,50,1,8,Sphere
530,97.29504230340832,51,1,8,Sphere
531,97.29504230340832,52,1,8,Sphere
532,97.29504230340832,53,1,8,Sphere
533,97.29504230340832,54,1,8,Sphere
534,97.29504230340832,55,1,8,Sphere
535,97.29504230340832,56,1,8,Sphere
536,97.29504230340832,57,1,8,Sphere
537,97.29504230340832,58,1,8,Sphere
538,97.29504230340832,59,1,8,Sphere
539,97.29504230340832,60,1,8,Sphere
540,239.0743397949538,1,0,9,Sphere
541,239.0743397949538,2,0,9,Sphere
542,210.64146756399398,3,0,9,Sphere
543,210.64146756399398,4,0,9,Sphere
544,210.64146756399398,5,0,9,Sphere
545,210.64146756399398,6,0,9,Sphere
546,210.64146756399398,7,0,9,Sphere
547,210.64146756399398,8,0,9,Sphere
548,207.81843869699392,9,0,9,Sphere
549,207.81843869699392,10,0,9,Sphere
550,207.81843869699392,11,0,9,Sphere
551,207.81843869699392,12,0,9,Sphere
552,181.14206296635885,13,0,9,Sphere
553,181.14206296635885,14,0,9,Sphere
554,181.14206296635885,15,0,9,Sphere
555,181.14206296635885,16,0,9,Sphere
556,181.14206296635885,17,0,9,Sphere
557,181.14206296635885,18,0,9,Sphere
558,181.14206296635885,19,0,9,Sphere
559,181.14206296635885,20,0,9,Sphere
560,181.14206296635885,21,0,9,Sphere
561,181.14206296635885,22,0,9,Sphere
562,181.14206296635885,23,0,9,Sphere
563,181.14206296635885,24,0,9,Sphere
564,181.14206296635885,25,0,9,Sphere
565,181.14206296635885,26,0,9,Sphere
566,181.14206296635885,27,0,9,Sphere
567,181.14206296635885,28,0,9,Sphere
568,181.14206296635885,29,0,9,Sphere
569,181.14206296635885,30,0,9,Sphere
570,181.14206296635885,31,1,9,Sphere
571,181.14206296635885,32,1,9,Sphere
572,181.14206296635885,33,1,9,Sphere
573,181.14206296635885,34,1,9,Sphere
574,181.14206296635885,35,1,9,Sphere
575,181.14206296635885,36,1,9,Sphere
576,181.14206296635885,37,1,9,Sphere
577,127.4606441097498,38,1,9,Sphere
578,127.4606441097498,39,1,9,Sphere
579,127.4606441097498,40,1,9,Sphere
580,127.4606441097498,41,1,9,Sphere
581,127.4606441097498,42,1,9,Sphere
582,127.4606441097498,43,1,9,Sphere
583,127.4606441097498,44,1,9,Sphere
